"id_mutation","nature_mutation","valeur_fonciere","code_postal","type_local","surface_reelle_bati"
"2023-432750","Vente","217000","80100","Maison","110"
"2023-432751","Vente","200000","80220","Maison","126"
"2023-432752","Vente","211000","80100","Maison","69"
"2023-432752","Vente","211000","80100","Maison","56"
"2023-432752","Vente","211000","80100","Maison","100"
"2023-432753","Vente","80000","80000","Maison","56"
"2023-432755","Vente","130000","80370","Maison","92"
"2023-432758","Vente","405000","80100","Local industriel. commercial ou assimilé","627"
"2023-432759","Vente","45000","80500","Maison","76"
"2023-432760","Vente","90000","80080","Appartement","68"
"2023-432761","Vente","530000","80480","Maison","211"
"2023-432763","Vente","74800","80200","Maison","44"
"2023-432764","Vente","67000","80400","Maison","51"
"2023-432765","Vente","109000","80000","Appartement","43"
"2023-432766","Vente","83050","80800","Maison","70"
"2023-432767","Vente","86000","80000","Appartement","43"
"2023-432768","Vente","42500","80240","Maison","47"
"2023-432770","Vente","182000","80460","Maison","65"
"2023-432771","Vente","285000","80480","Maison","81"
"2023-432772","Vente","42000","80670","Maison","54"
"2023-432774","Vente","47000","80430","Maison","80"
"2023-432776","Vente","97000","80100","Maison","52"
"2023-432777","Vente","415000","80470","Maison","254"
"2023-432778","Vente","50000","80000","Local industriel. commercial ou assimilé","65"
"2023-432780","Vente","70000","80000","Local industriel. commercial ou assimilé","40"
"2023-432788","Vente","390000","80000","Appartement","71"
"2023-432788","Vente","390000","80000","Appartement","59"
"2023-432788","Vente","390000","80000","Appartement","52"
"2023-432790","Vente","85000","80340","Maison","54"
"2023-432791","Vente","65000","80000","Local industriel. commercial ou assimilé","120"
"2023-432791","Vente","65000","80000","Local industriel. commercial ou assimilé","37"
"2023-432792","Vente","74300","80080","Appartement","18"
"2023-432793","Vente","202500","80260","Maison","74"
"2023-432793","Vente","202500","80260","Maison","74"
"2023-432793","Vente","202500","80260","Maison","74"
"2023-432794","Vente","180000","80132","Local industriel. commercial ou assimilé","165"
"2023-432795","Vente","140000","80160","Maison","130"
"2023-432797","Vente","450000","80000","Local industriel. commercial ou assimilé","97"
"2023-432797","Vente","450000","80000","Appartement","75"
"2023-432797","Vente","450000","80000","Appartement","60"
"2023-432797","Vente","450000","80000","Appartement","20"
"2023-432797","Vente","450000","80000","Local industriel. commercial ou assimilé","52"
"2023-432798","Vente","200600","80260","Maison","91"
"2023-432799","Vente","69000","80360","Maison","63"
"2023-432800","Vente","45000","80580","Local industriel. commercial ou assimilé","48"
"2023-432801","Vente","370000","80000","Local industriel. commercial ou assimilé","115"
"2023-432802","Vente","142000","80000","Appartement","26"
"2023-432802","Vente","142000","80000","Appartement","55"
"2023-432803","Vente","73000","80300","Maison","70"
"2023-432804","Vente","94000","80090","Appartement","45"
"2023-432806","Vente","181500","80470","Maison","98"
"2023-432808","Vente","245320","80690","Maison","129"
"2023-432808","Vente","245320","80690","Maison","129"
"2023-432809","Vente","77060","80780","Maison","75"
"2023-432810","Vente","105000","80800","Maison","84"
"2023-432812","Vente","112000","80090","Appartement","72"
"2023-432814","Vente","220000","80135","Maison","120"
